,tweet_id,airline_sentiment,text
3,570301031407624196,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
4,570300817074462722,negative,@VirginAmerica and it's a really big bad thing about it
5,570300767074181121,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
9,570295459631263746,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
11,570289724453216256,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
12,570289584061480960,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
14,570285904809598977,positive,@VirginAmerica Thanks!
16,570277724385734656,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
17,570276917301137409,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
18,570270684619923457,positive,I ❤️ flying @VirginAmerica. 👍 ☺️
19,570267956648792064,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
21,570264145116819457,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
22,570259420287868928,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
24,570256553502068736,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
25,570249102404923392,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
26,570239632807370753,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
28,570207886493782019,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
30,570114021854212096,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
32,570088404156698625,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
33,570084582780899328,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
34,570076792993611776,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
36,570051381534396416,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
37,570045393565691904,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
39,570035876845084672,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
45,570012257549070337,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
47,570010571707256832,positive,@VirginAmerica wow this just blew my mind
56,569996245462159361,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
61,569989034501500928,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
64,569986348041547778,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
66,569976620158578688,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
67,569973821396152323,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
69,569967019958730753,negative,@VirginAmerica everything was fine until you lost my bag
73,569946362126602240,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
74,569942903683813376,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
75,569941957490774016,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
78,569935232033366017,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
